Sample,P1a,P2a,P3a,P4a,P5a,P6a
D1122,527.65810629,373.84080054,74.47966670000002,1601.9575987199994,4382.610201899999,1840.6996802
D1127,1464.9105923199998,387.42840153,71.12910114399999,413.64425392,2119.0929391,874.5869922
D1132,186.95893536,85.287408294,2.000455487,294.95845475,2382.4950087,1256.53351467
D1138,808.53416613,178.63628754,3.571795924,379.47809947,1035.6310918499996,1198.18675477
D1143,759.57031139,638.74372131,659.1758604899999,835.85393358,2948.2173642,2459.3145627500007
D1163,227.61201577,280.45082203,467.05296030000005,2728.9964939,10769.7641276,4642.5664055
D1165,203.18283046,629.8816438900002,722.4027827899997,1138.9974105700005,1913.8937889,1047.51371312
D1167,1193.79005168,165.55602456699998,27.412476841999997,892.61529613,1596.34471806,681.34374173
D1172,166.81855204,126.65907903,13.221595503,1005.63454893,2839.3629043,1573.85101712
D1177,745.19068709,189.216961083,36.825021248,564.9523098799998,3547.1930892,1602.71319786
D1179,226.14304911,342.4237517800001,60.44899956800001,949.89843505,4325.9341171000015,2071.52790671
D1183,1162.41042142,329.5960050000001,184.595484398,839.15380322,1396.66385345,1330.15775778
D1195,119.276179932,205.489334087,39.908710759,822.1532513699997,1395.3185070000006,775.3342032300003
D1199,1647.6849447999994,479.83286876,270.43795221,107.745954557,5413.9267082,1513.29735079
D1202,465.53452874,230.97618675400003,25.842190745,1199.3976847,2090.08241,930.98840356
D1261,766.15936774,483.58693991000007,128.56378971,337.3300522400001,3363.6310425,2295.76180118
D1268,1133.22392255,649.23900467,119.089228634,1378.26165672,2245.6105244000005,1696.8575649600002
D1271,627.3131199900001,199.55211574900002,16.582490176,85.48763633600001,1779.3706022999993,1393.01075292
D1292,105.869447938,375.75245912,848.45136784,1475.6139670700006,2342.1616698000007,1741.8133799900006
D137,336.01063452,529.86303458,767.33767846,969.63091982,1220.07489354,2211.44345467
D1388,623.02265155,236.515209902,225.649697571,1280.8636575299995,5105.452220800002,1833.4447880999996
D1392,196.42494063,291.27471229,679.91361299,1815.85480611,8801.227138799999,4196.6419393
D1394,736.79476705,311.9950226539998,135.207510501,1231.33434877,4638.4949516000015,1754.1210889000006
D1396,355.88936501,456.59315175000006,283.357461813,129.32907010600002,2161.235053000001,1320.73394546
D1401,1118.33166641,285.60141033,165.98191016500004,1801.03322492,3330.2579647,1474.21759196
D1402,1169.65893401,420.33346265,280.669803861,1679.8496368499998,3770.3521001000013,1708.11518273
D1404,570.897194,214.670651102,219.12917007299998,623.27669505,4790.849798599998,1648.5515985
D1406,1205.2510340600004,321.81707574,37.313245736,2328.3891484500004,2342.6889724,1340.7790278400005
D1411,1053.9406236,296.81070974999994,26.439142634,1658.28263626,4128.8100669,1966.229734
D1412,1472.3054249000006,513.5355967599999,443.71318064,1430.32282773,2698.7040374000007,1102.32536322
D1430,1719.8417010000005,580.61314653,17.466962777,1549.09045172,2744.2396613,1535.00882339
D1441,531.65203015,490.74091793,526.409859842,1039.79542351,974.05776899,2368.71264449
D1448,193.22206518,278.02958904,69.994833805,1633.1484507699995,2941.505018,1187.33185393
D1453,847.48902571,327.59241357,226.668963761,1194.9194366299996,1950.5311277,1591.32328608
D1466,1483.0352543,486.68690337,37.813174636999996,1725.4019917400005,3238.8560559000002,1338.1906971999995
D1468,669.16398423,244.117310115,122.368799076,1242.32178095,3543.107377100001,2047.88691257
D153,321.71223965,193.1787659270001,188.033662976,2012.58518606,3463.3069200000004,1580.0331895300005
D154,429.213076,610.04796124,340.14199349000006,2880.6650814800005,2837.3916846,1500.5069941000006
D155,208.677433,149.00500347300002,242.770757347,1392.0063856300005,4757.9311452,2139.4118192
D2847,327.87383660000006,277.39207815,85.858375458,644.2223347800001,1767.5588504999994,1943.9554969700007
D2848,188.58654636,181.32504588000003,63.46320302099999,846.66093458,1995.7595155000001,1203.0386980300002
D2849,770.48176166,357.31216823999995,58.153801693999995,1948.85638156,2527.1144268000007,1543.82605795
D2850,517.85430379,523.93875167,614.2593482699998,1549.54496069,3459.2616322999997,1113.92121251
D2851,573.31241712,190.86686291200002,203.97058876,957.78957403,1142.31631364,608.18728276
D2852,411.83981976,55.438911485,56.144265793,1416.1120964200006,2414.3093582,1141.4618202
D2853,1143.68884772,742.5253072400003,1055.10400162,2704.952087319999,3256.2692053000005,1952.31811181
D2859,190.4371434,111.61243890600001,359.46018414,2380.04791291,3026.7065976,1416.55993815
D2860,472.10349775,367.40251295,53.749356968,1227.34807659,1934.40666639,926.44112991
D2861,500.7582376,513.57172418,83.20555795500002,1614.26683119,2516.1590384,1654.287499
D2866,897.4216153299999,165.25002490200004,106.97108084499996,1263.9946570400002,1262.8569206000002,837.69009881
D2868,674.30229032,934.03314655,922.29611926,810.1474482899997,2489.912782000001,1209.1201521099995
D2869,339.11812210000005,162.38817533699998,421.72642839,1420.61232745,4395.2974628,1737.3830914999999
D2870,960.13721324,200.159462047,343.3160196400001,1310.01145662,2217.7974258,1064.93218032
D2874,87.11389232099998,104.408717044,6.383374891,1081.87188016,3456.8417900000004,1213.45363461
D2875,419.9081514,161.95078010499995,127.307804838,789.9012305500003,2709.7376045999995,1179.72129696
D2876,335.50193842,165.414272929,252.11932821,1020.84610728,2268.2801299000002,1551.7503254
D2878,851.27334152,84.406170088,51.233911878,1135.60251969,3325.3014766999995,1513.9856182800006
D2879,616.87340458,168.70492034400004,28.90901152400001,910.5150320599997,2155.9254887,1182.2354607999996
D2881,289.34102508,234.545876004,142.73951293399998,460.62869610000007,2464.9813638,1472.7347038700002
D2890,696.7293325599999,94.546924928,13.754859715,1190.59106929,1270.7592449,718.02466608
D2899,794.6357944599997,324.07026513000005,122.94429615,1550.6759213200005,3816.4674789000014,2125.82501198
D2900,2313.2292555,263.712882222,152.78669514700002,4279.071893099999,3799.152516800001,2219.7628129
D2901,875.0383446899997,481.85281322,253.798635939,622.3566917199997,2781.4486604000012,1331.64699783
